,mslp_pc_0_daily,mslp_pc_1_daily,mslp_pc_2_daily,mslp_pc_3_daily,mslp_pc_4_daily
1979-11-02,-1597.8552,557.2864,1041.4948,490.0282,-491.1869
1979-11-03,-365.76678,336.13464,2503.2576,758.1114,-175.30116
1979-11-04,1857.8519,-697.40594,1898.5051,470.24695,708.2446
1979-11-05,2964.9429,-775.5771,224.7599,512.94965,488.57013
1979-11-06,2765.561,-355.3275,-731.0218,833.90924,321.91116
1979-11-07,2161.3987,-218.50052,-1066.1273,626.95734,-48.600124
1979-11-08,1942.1519,-497.65936,-981.08276,49.886528,64.01192
1979-11-09,1099.7164,-1021.654,-1071.1383,56.405895,315.58188
1979-11-10,93.107864,-1074.3555,-609.5554,257.30533,-7.060769
1979-11-11,-162.30167,-474.92908,-299.38333,238.50317,-141.62871
1979-11-12,-71.564514,115.57066,-178.21727,360.2828,-21.658552
1979-11-13,555.19354,641.81915,-182.21466,145.82735,-143.30493
1979-11-14,835.1048,896.2112,-578.7433,79.28382,78.447556
1979-11-15,492.29605,949.08295,-1047.612,636.95844,334.43256
1979-11-16,-145.2547,1046.5941,-766.4283,791.54156,74.88773
1979-11-17,793.6829,897.62134,618.5853,670.3249,42.17194
1979-11-18,632.64716,369.2802,181.38507,751.0293,516.1228
1979-11-19,-702.56445,116.83553,-202.61716,771.22424,187.12956
1979-11-20,-1375.0851,-332.24908,348.52747,892.36115,-283.38116
1979-11-21,-769.0336,-956.3524,1106.4791,727.38464,123.87314
1979-11-22,34.417595,-1294.1898,814.36536,-184.35715,167.26869
1979-11-23,529.88116,-1234.6294,425.98663,-360.7009,215.64723
1979-11-24,437.50473,-738.2266,386.42596,-118.79236,85.05418
1979-11-25,593.1658,-279.7178,862.42395,-518.07306,-340.00095
1979-11-26,1065.7645,-620.28015,310.76685,-562.1929,-269.415
1979-11-27,141.39767,-475.26828,-364.96548,-674.0633,-1174.4906
1979-11-28,-29.406193,94.76395,624.2383,-244.05113,-1093.9053
1979-11-29,917.47534,-305.2972,515.35345,-517.2467,-346.45407
1979-11-30,1655.9849,-613.48975,-390.79584,-283.7951,-870.1975
1979-12-01,2087.4204,-518.28204,364.55023,287.84686,-844.6511
1979-12-02,2336.3445,-775.67145,1287.4137,170.19716,17.785593
1979-12-03,1428.7928,-1053.9635,1121.275,-267.52045,-122.31306
1979-12-04,1471.3921,-524.0333,1445.8209,-437.51,-277.6103
1979-12-05,2266.9482,-1345.0287,513.6947,-816.4834,238.29604
1979-12-06,1201.9973,-1254.4362,-514.1091,-1097.1526,-298.38412
1979-12-07,211.78984,-341.4972,-866.573,-646.6655,-631.77466
1979-12-08,530.92975,353.29282,-351.81152,-474.90637,-419.61533
1979-12-09,1769.0073,1400.1981,-138.4535,-451.92593,-539.7454
1979-12-10,2383.784,1775.4828,-595.14874,169.05698,-535.19525
1979-12-11,1761.7177,1183.0876,-1018.8089,916.2641,-550.3935
1979-12-12,473.1214,1260.7866,-172.2783,542.9167,-895.14514
1979-12-13,415.25128,1623.8707,1084.0602,452.26407,-504.17062
1979-12-14,649.20667,1728.6617,969.516,522.03784,-447.78375
1979-12-15,956.3743,1357.8822,-256.25293,1002.5006,-671.61304
1979-12-16,1005.14594,937.588,-179.41678,951.50256,-809.1715
1979-12-17,1464.9475,-117.108406,-274.6533,855.12024,-243.78752
1979-12-18,928.7595,-1410.6177,-1037.5311,619.73706,23.60215
1979-12-19,-891.76953,-1426.4425,-1513.7434,582.6633,418.96844
1979-12-20,-1494.7789,-974.3632,-63.51243,917.7337,851.1863
1979-12-21,-1105.722,-284.59732,827.9749,471.27356,1217.8772
1979-12-22,-501.52368,955.87427,614.57574,324.5404,1197.6035
1979-12-23,158.73282,1176.3428,494.68677,397.68454,702.4914
1979-12-24,-627.7512,646.3445,602.5771,382.66928,250.92581
1979-12-25,-1286.3656,517.77954,862.9357,109.26636,-268.43542
1979-12-26,-949.4113,630.8584,1433.5192,-239.04561,-276.9286
1979-12-27,97.27904,729.8395,1329.3354,-527.8821,281.65015
1979-12-28,1281.8717,30.28643,349.05505,-102.80629,469.53357
1979-12-29,887.85333,276.40457,-836.1667,148.52235,374.20496
1979-12-30,337.84525,301.35352,-1696.8335,562.2091,443.9739
1979-12-31,-132.75627,129.38275,-1905.9208,665.51624,100.45848
1980-01-01,-477.93372,129.4668,-1647.7618,682.02454,-134.11087
1980-01-02,-928.382,-16.198694,-812.08844,617.1213,-589.6048
1980-01-03,-465.6357,484.76987,155.93881,533.6336,-644.61285
1980-01-04,310.15146,784.00415,679.76227,653.6695,-136.4361
1980-01-05,-262.13196,372.67447,-17.195929,495.3201,242.96767
1980-01-06,-1275.6741,626.24066,-495.7391,38.456097,27.161842
1980-01-07,-2246.5364,832.37244,-494.24432,225.26997,-127.144615
1980-01-08,-2527.254,1079.115,160.67397,224.00285,-384.42627
1980-01-09,-2584.3853,743.5739,371.99326,494.2201,-121.3528
1980-01-10,-3066.527,125.508026,650.9693,695.2813,-98.554756
1980-01-11,-3730.9375,-407.7733,678.6713,748.18335,-69.54184
1980-01-12,-3304.9763,-1035.2416,1196.9296,465.89334,399.68762
1980-01-13,-1350.2233,-1762.0408,637.11926,-385.21143,1095.9094
1980-01-14,-747.94635,-1203.7654,-1326.7632,-1131.155,866.15533
1980-01-15,-1035.4137,-402.2461,-1590.3752,-315.33914,945.87573
1980-01-16,-647.12445,-230.33502,-964.40753,417.775,976.7426
1980-01-17,-9.046724,-393.16122,-585.91144,-343.144,900.5211
1980-01-18,396.44894,452.14844,34.899933,-512.74506,315.58182
1980-01-19,188.98877,1186.5713,445.37927,-172.30415,311.46127
1980-01-20,73.623566,1402.1959,513.72,-224.09476,202.98474
1980-01-21,225.06564,1761.1174,285.3156,-368.5823,360.1454
1980-01-22,352.0124,1678.5103,-510.63104,-475.54703,299.6666
1980-01-23,298.41226,1769.0986,-950.8914,-354.1207,128.16573
1980-01-24,-842.1241,1775.0139,-1177.0072,50.2419,-288.21124
1980-01-25,-1643.3394,772.9003,-1385.5504,-126.12628,-352.99222
1980-01-26,-1470.708,-36.26987,-1588.443,-647.9166,-383.6695
1980-01-27,-1765.8464,230.49522,-957.55054,-517.4758,-648.9019
